Month,Duck_Forzen_BE,Duck_Forzen_CH,Duck_Forzen_DE,Duck_Forzen_ES,Duck_Forzen_GB,Duck_Forzen_HK,Duck_Forzen_IT,Duck_Forzen_JP,Duck_Forzen_OTHER,Duck_Forzen_SG,Duck_Forzen_TH,Duck_Fresh_BE,Duck_Fresh_CH,Duck_Fresh_DE,Duck_Fresh_ES,Duck_Fresh_GB,Duck_Fresh_HK,Duck_Fresh_IT,Duck_Fresh_JP,Duck_Fresh_OTHER,Duck_Fresh_SG,Duck_Fresh_TH,Goose_Forzen_BE,Goose_Forzen_CH,Goose_Forzen_DE,Goose_Forzen_ES,Goose_Forzen_GB,Goose_Forzen_HK,Goose_Forzen_IT,Goose_Forzen_JP,Goose_Forzen_OTHER,Goose_Forzen_SG,Goose_Forzen_TH,Goose_Fresh_BE,Goose_Fresh_CH,Goose_Fresh_DE,Goose_Fresh_ES,Goose_Fresh_GB,Goose_Fresh_HK,Goose_Fresh_IT,Goose_Fresh_JP,Goose_Fresh_OTHER,Goose_Fresh_SG,Goose_Fresh_TH
2012-01-01,52057,3826,20161,253449,19654,165205,45033,474411,17892.285714285714,0,0,79157,249862,42549,249546,115011,4577,20273,214764,8327.433333333332,10334,113604,6592,0,4600,38138,3929,0,6685,0,678.3333333333334,0,0,2824,15501,86243,4366,2991,4100,9522,10589,3403.1,0,421
2012-02-01,129665,2889,21990,345939,47231,226193,32143,285301,18494.533333333333,69010,23441,63559,244252,42495,244267,125913,37906,13228,212191,10691.833333333334,21589,24063,4335,0,8352,14926,17273,43366,9781,0,51490.0,0,4744,2401,10113,82461,2914,2680,18549,6305,15083,3804.8,220,0
2012-03-01,73712,6414,36323,389854,34770,0,18443,703266,11229.933333333332,114262,74955,59530,360542,52993,347885,130874,24996,24609,280673,7829.827586206897,49876,13249,6065,0,15771,2250,26678,0,3799,70938,8661.4,0,0,2774,9582,89522,5342,2358,19574,8869,11772,3713.6363636363635,325,1294
2012-04-01,114564,25604,24085,268558,39501,162422,44141,508398,16978.23076923077,14833,6596,65173,358828,37418,246823,106702,48966,22731,387604,5856.4838709677415,12545,44600,1720,0,3316,16780,22703,43383,2202,32925,4681.8,9606,824,2900,7622,85445,1490,4124,2856,6183,8502,3101.875,0,0
2012-05-01,85606,15335,49197,486538,33459,173451,26206,729470,10466.75,94192,6653,65982,315899,27860,370398,135341,16677,17487,234001,7999.2,4617,26227,2249,0,12232,36888,9418,0,9388,0,11998.0,0,0,2568,17342,64003,6113,1440,10692,5304,22096,2657.9,0,6820
2012-06-01,43287,5663,28892,448938,25742,243236,28636,289553,13193.666666666666,98657,152600,61837,180659,49795,316756,126288,20359,23759,295317,9034.74074074074,7124,27038,2727,0,9480,10395,27258,0,4604,34831,4335.4,44273,0,2653,5238,58583,2820,1487,20183,8330,8064,1999.7777777777778,0,0
2012-07-01,40681,13991,24522,415640,36571,31327,35173,723339,9666.76923076923,44464,7465,48816,121717,49042,346022,136330,21450,26007,374386,5809.592592592592,16704,31652,0,0,4075,6798,24821,0,1550,0,6034.75,0,61807,2601,9184,61903,9729,2014,2949,9943,17017,1915.3076923076924,196,0
2012-08-01,72427,18089,29309,267121,23034,73668,27725,685753,12050.684210526315,14108,98390,48461,156926,42755,310957,106667,30131,12704,399935,12477.814814814816,2806,11103,1726,0,14546,12780,14354,38819,2313,0,4509.8,0,0,2416,13407,86152,3751,1376,12985,8475,8163,3221.3333333333335,95,0
2012-09-01,111818,86241,40637,628037,27286,183446,40810,805377,14576.0,94918,8035,68521,320315,54303,323348,121847,42983,25576,429154,8012.3,21513,16457,2905,2313,7552,29578,3845,21373,13774,0,22974.5,23433,5637,4541,9185,114952,2226,1932,4245,14769,6666,2107.1666666666665,4270,13206
2012-10-01,234134,93344,89929,611391,63454,625859,21452,827849,18629.590909090908,69056,110735,153290,520732,69466,320846,157647,91271,23607,434865,8577.648648648648,16841,13178,4745,0,16206,25479,19871,87661,3478,36100,4891.0,54312,2407,6869,11134,169136,4598,2680,25133,7665,35442,3333.722222222222,291,0
2012-11-01,74094,232369,28061,625209,50470,146946,70346,635443,29494.56,124305,13196,279498,1217747,78838,324047,167512,15133,33304,377737,11831.78947368421,33089,2580,9062,2293,13211,23441,36454,0,8038,0,2606.875,0,82636,33947,13860,144382,5694,2984,12608,15491,40016,5614.928571428572,0,0
2012-12-01,118110,29803,37092,569617,40985,124355,124935,464030,12456.111111111111,80387,92990,1006219,3058094,117941,629042,214816,34261,31898,499720,10594.40909090909,2097,21661,921,0,7589,24561,15885,0,13237,0,3333.0,38455,0,133782,79727,277941,14151,7174,10895,15996,37319,6160.5,4111,1256
2013-01-01,24037,42466,20460,263869,21128,152787,46309,321411,10778.0,10099,25513,93114,238035,37369,184032,111471,26126,22734,381902,6798.9655172413795,2736,0,4835,0,12636,9747,26519,0,9840,0,9496.4,1226,1540,4226,14448,78590,497,3065,24797,9787,27587,3306.777777777778,0,0
2013-02-01,85618,25045,12053,355748,34282,277024,20076,1139485,10815.0,97004,116877,77657,301877,44209,174817,121003,27007,13310,412870,7394.0,64058,83,0,0,2608,45238,12964,20766,5802,0,4095.8333333333335,0,0,4290,15056,74760,2057,2249,4548,5172,5900,2485.2,0,0
2013-03-01,55449,39138,27243,368672,25026,99467,57951,513424,15710.09090909091,146647,394244,78425,185394,50692,218118,114668,26909,18230,285863,9196.92,11025,29474,3739,0,1940,21703,30755,3113,3465,0,2794.0,0,0,4130,8539,83118,897,2328,7858,7135,10982,2408.6363636363635,0,1247
2013-04-01,129590,21240,23097,382584,32252,66568,19993,1182065,20778.043478260868,125998,141864,72511,188470,31901,213530,120595,14147,18848,410501,7417.967741935484,6396,2564,2797,0,4927,6718,16964,0,1599,0,6720.5,26466,3088,3126,10233,69163,864,2123,5535,8451,7840,1582.5,414,0
2013-05-01,58869,63616,31083,532979,38246,165222,56018,1015168,20520.85,113972,124488,64096,177976,36958,227145,127379,13960,22690,324776,6451.2962962962965,3423,34065,586,0,4451,16124,18163,4866,9488,0,18336.25,36619,4440,3594,5070,70486,1339,2509,8682,4159,13979,1633.0,720,0
2013-06-01,41893,25685,43592,400009,44142,32831,33829,913338,9275.055555555555,33663,53903,53673,169732,34738,293295,104850,16024,20792,339811,5149.12,5874,15066,3143,0,4108,32455,29778,66722,759,0,5647.0,9901,4326,2144,12016,59275,1428,1886,8358,7984,8777,1933.7692307692307,0,2853
2013-07-01,32949,2662,31505,459609,32599,138932,48007,561275,12050.761904761905,70323,208722,45179,140039,30928,268519,115473,22876,22624,313898,4259.322580645161,66651,7088,2477,0,2624,1072,31462,18426,7649,0,11166.333333333334,75349,1493,2770,16800,66296,2955,3075,45101,2874,29949,2210.0,0,0
2013-08-01,28763,45917,49513,310392,25827,30175,46581,666281,23222.5,92301,52594,55501,165364,37809,240088,102346,22116,22554,486644,6754.173913043478,7046,4999,1935,0,2970,11544,17308,5254,3792,77949,3025.5,11990,0,2337,7710,80262,1983,1809,10011,5771,4412,2362.1111111111113,0,0
2013-09-01,102689,236928,37011,542703,56927,451233,42196,1606420,35262.22222222222,67683,86252,68530,474965,54588,255412,119682,72518,18470,375712,6378.166666666667,8262,10590,2475,0,10745,12438,38284,13045,12264,216767,20338.7,0,5232,5085,8593,94700,1727,3049,48634,3803,26892,2293.9166666666665,748,6480
2013-10-01,208893,131778,88461,450533,26225,175677,49298,901412,37340.69565217391,123123,154557,107868,492545,65443,239977,135736,14425,29208,440933,11589.266666666666,70671,1172,509,0,17400,20901,37432,131,3213,24381,5490.333333333333,116198,0,7022,13764,138606,1024,820,14692,13962,11310,1948.7142857142858,0,8382
2013-11-01,338170,166737,58368,751950,65494,109866,49760,522570,16264.285714285714,122531,55557,227479,1060774,75785,294054,153884,13510,26163,343211,7501.457142857143,30169,17677,2903,0,12979,36665,35934,0,5594,21114,7058.833333333333,0,4024,27426,16552,138668,1026,3200,71962,13360,28873,3370.705882352941,0,0
2013-12-01,135841,107609,30733,758448,42363,196191,131314,997685,19697.08,75433,112418,977727,1581797,150140,461101,213876,24446,31278,415865,10843.454545454546,19804,13998,0,1066,4868,11064,20241,28295,19402,131393,11027.5,0,0,95465,97757,257633,7947,7140,18328,16784,53415,6647.764705882353,0,0
2014-01-01,86730,47292,48385,239121,25195,199943,54406,469017,11230.76,139769,272656,63062,201832,48016,168932,103060,143846,20638,285354,6161.607142857143,54083,16085,4422,719,7644,47561,17632,94212,7200,0,5303.333333333333,7511,2686,7548,25682,88233,427,2591,4802,4968,7327,3042.4545454545455,0,0
2014-02-01,48841,27961,37292,326484,38024,117708,44386,1032197,13890.181818181818,68772,114264,68948,192449,32939,146364,108428,13195,20926,219720,6393.807692307692,18415,6545,510,0,1014,8982,26590,0,7391,0,20444.833333333332,0,0,5203,32246,66466,334,2439,10483,9148,5235,2574.125,0,15046
2014-03-01,76111,44075,19312,404758,32814,235965,39831,877190,19049.1,83688,113664,58805,165574,41243,159450,113328,16200,12940,273741,5155.652173913043,3187,17593,9856,0,3589,6495,48526,29124,2818,0,7049.25,84763,0,4690,40732,66452,319,3753,9651,5048,5818,2719.285714285714,0,0
2014-04-01,288219,24072,45703,527739,24565,78126,39517,706446,10571.85,35761,25355,81156,194567,39661,186762,110964,15177,29854,507923,7642.923076923077,23460,4677,3710,0,4064,8313,25456,47265,5610,121256,10304.875,0,1124,7209,27518,78686,1332,2290,9087,10019,10152,1621.6666666666667,0,0
2014-05-01,33275,42436,21896,466144,36218,5290,56964,790712,23322.235294117647,42469,17470,58944,132137,28048,189975,98227,16701,35768,314562,5419.4375,24237,0,2480,2417,3552,2436,6782,19252,3065,138085,1962.75,0,1650,4072,12988,75430,1311,2439,5392,7749,10168,1849.2222222222222,0,0
2014-06-01,109505,25480,44653,483532,41542,147139,43259,751130,25191.04761904762,47869,19019,51376,145012,26141,197911,107204,40209,18316,219988,5904.538461538462,23180,3156,0,0,6547,5044,24560,10383,4586,68751,15208.25,0,37150,6050,10841,71772,2679,3381,12939,2618,5035,1642.8,16599,4020
2014-07-01,17230,27679,18423,572765,47461,202866,38043,1374917,16728.47619047619,35322,220922,50237,130247,33068,198521,103215,35367,26086,465330,4699.259259259259,0,17639,2503,0,4977,13839,34129,17655,9485,106357,4101.75,0,2744,1404,20679,64313,1145,2816,7889,9388,8450,3051.1111111111113,0,0
2014-08-01,121760,89866,66828,477210,20653,46908,43809,996091,15847.095238095239,90517,44344,45223,160411,38814,197816,83786,15503,18488,233137,4504.333333333333,43647,0,2516,0,9232,1055,17756,32692,5926,1120,13280.0,15212,7359,3606,9158,75011,749,2957,9123,6198,4919,3998.6666666666665,0,4701
2014-09-01,124176,238068,54907,584278,42694,203643,56699,894789,10378.076923076924,70904,251168,76475,364512,50413,229147,115426,25628,26847,634179,6258.766666666666,33454,2820,25369,16145,8205,7442,11067,36112,6967,252551,5613.714285714285,0,2229,6514,27276,112282,1265,4082,5041,10169,6662,2168.9166666666665,0,0
2014-10-01,3217573,288428,54350,646718,51837,255898,61235,1353527,23433.0,176315,194749,93116,349588,69521,238015,127287,33666,23263,301466,16779.777777777777,0,2849,2349,0,13025,18770,37108,22241,4843,158144,14138.333333333334,51760,1234,6926,54841,118500,1707,3456,18797,7729,7218,2529.5384615384614,0,0
2014-11-01,159583,243445,59020,514516,57134,183701,125555,729384,19901.137931034482,43053,176498,229258,680687,72326,231472,163475,21097,35055,301470,10993.702702702703,41734,1444,0,2516,6817,21602,29042,34803,8739,0,12298.142857142857,0,70551,28649,52605,139690,3512,3809,53902,21134,9486,3699.0714285714284,0,0
2014-12-01,121193,183289,51867,729003,63301,130858,193607,272688,23058.76923076923,58051,31205,861777,1493873,114955,459842,213684,46669,38477,643881,12246.80487804878,36193,11583,3284,0,8038,7875,19983,16482,28623,51278,2718.5714285714284,0,13671,43945,152520,285148,7116,4956,15424,20889,18172,6565.6,0,176
2015-01-01,40444,25213,28216,217531,51347,6213,46818,27669,9455.666666666666,26319,8521,55178,126254,30323,122713,88195,56341,18747,230885,6485.565217391304,17737,1986,3279,0,5874,26229,35785,0,1751,162886,7157.6,0,0,3047,12558,71316,1540,2081,9694,11938,5677,2028.125,0,357
2015-09-01,152062,306073,46264,629543,45792,406113,66133,1027071,15773.32142857143,104624,332445,72856,317658,48534,232796,109316,50248,28130,390454,10068.518518518518,13758,9267,2791,1438,19746,10810,23588,12252,11730,284231,6874.571428571428,0,1530,2257,35590,92120,912,2982,7607,10242,7511,2006.6,0,0
2015-10-01,96623,397726,61176,602242,38729,332974,59645,1154017,27464.153846153848,138207,262128,92884,278296,74527,179505,114263,48971,34036,307318,11513.296296296296,4257,31515,1946,0,7937,1981,34806,44561,8460,0,31849.222222222223,32649,0,3444,30643,99922,1651,3126,4381,6326,10148,1545.3636363636363,0,0
2015-11-01,196448,459557,51864,901535,46763,215940,181489,338410,25545.24,180806,167106,203770,836315,66948,240045,140111,21357,49590,209488,9963.58064516129,434,5132,22883,17215,18276,10690,27350,42066,25248,0,5566.333333333333,37207,0,15199,53930,164335,689,4122,785,19068,9988,4783.285714285715,14673,7583
2015-12-01,128732,387171,50513,622945,62566,154061,107453,1130070,20533.21052631579,101075,2360,652169,1389198,117310,412135,195026,24280,46707,6486,9843.5,1255,1790,4420,1161,12311,2400,39130,30903,11365,0,9737.714285714286,43587,0,24494,134882,275439,4853,4809,380,18865,0,8330.666666666666,0,0
2016-01-01,68404,54721,24624,270590,17608,120902,80890,1009612,26592.04761904762,29871,8816,61521,157025,26170,107073,85716,6680,23431,15484,4480.5,2900,1056,11160,0,6732,9505,19726,112766,15430,0,3543.0,0,3532,2036,6437,52815,742,1236,0,13630,0,1092.7777777777778,0,0
2016-02-01,67164,204647,29101,551441,50640,68742,51197,361047,33460.470588235294,133572,73036,58752,161361,32287,202357,111072,6904,24664,0,4681.142857142857,812,0,3959,0,3231,1393,94366,17909,6272,0,3679.4,0,0,5319,9065,77722,3037,1515,0,9224,0,1890.3,0,0
2016-03-01,136763,135893,46210,419736,71692,358163,73244,277093,18704.347826086956,184195,0,53589,155384,38013,158228,105261,9226,28109,4389,7864.9473684210525,10,0,9916,0,3217,3034,23664,20539,10001,0,11656.75,0,0,2465,14872,87374,251,989,0,6063,0,3675.7,0,0
2016-04-01,126585,129222,43197,392513,24888,0,71345,52815,28330.666666666668,44305,0,40800,233414,38716,139801,85054,13328,22681,9778,5196.1,20786,0,10227,14800,1428,5955,70661,0,1695,0,4833.0,27809,0,2358,4666,57757,883,759,0,9091,0,1637.75,0,0
2016-05-01,45089,83809,28080,487945,42041,101631,55689,0,23865.68181818182,25355,0,42182,122476,36596,150927,108775,31968,12769,25843,4404.761904761905,9852,0,49668,0,990,12666,20002,0,3488,0,7042.8,70357,0,1581,14729,67893,827,1080,14569,5042,0,1338.7777777777778,0,0
2016-06-01,26426,81470,29879,422775,27663,147935,51581,91030,34363.1,36816,0,37400,131831,34096,115525,97070,9981,23688,5492,4591.375,129,0,15450,0,2661,409,618,6463,852,0,6180.4,0,0,1485,10181,74066,517,4099,0,7175,0,1275.8333333333333,0,0
2016-07-01,21831,76932,16893,431089,43567,125863,82952,0,25896.263157894737,65848,0,21802,86346,29200,120319,98233,14163,18831,962,4143.4,19714,17090,12478,0,2134,13360,0,0,3421,0,19669.6,53020,0,518,7172,50140,198,3529,144,5763,0,22437.666666666668,0,0
2016-08-01,53701,16019,24891,536773,29453,12506,69348,17946,14382.588235294117,13043,0,25695,143777,36910,124425,77285,10427,13764,0,10179.894736842105,0,0,0,0,2661,15001,11123,0,1400,0,9625.833333333334,0,0,844,22592,55527,447,1345,0,11286,0,1894.3333333333333,0,0
2016-09-01,89537,265966,51180,597446,65279,339052,82247,60887,58246.26315789474,74157,0,38536,221081,33322,285095,84255,77416,27571,0,5100.047619047619,0,0,0,3117,1514,23510,7351,0,3975,0,7098.333333333333,0,0,2252,15974,89806,0,4430,0,8454,0,2691.8571428571427,0,0
